"~id","~start_node_id","~end_node_id","~relationship_type","name"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846976","4:d55d1808-7ccb-481b-8389-6ac2b887737c:0","4:d55d1808-7ccb-481b-8389-6ac2b887737c:5","HAS_DESCRIPTION","edge.NULL_TOPIC"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152922604118474752","4:d55d1808-7ccb-481b-8389-6ac2b887737c:0","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","HAS_CHILD","edge.NULL->THE GODHEAD"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846977","4:d55d1808-7ccb-481b-8389-6ac2b887737c:1","4:d55d1808-7ccb-481b-8389-6ac2b887737c:3","HAS_DESCRIPTION","edge.Creation"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846978","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:4","HAS_DESCRIPTION","edge.The GODHEAD"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709633","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:1","HAS_CHILD","edge.THE GODHEAD->CREATION"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709638","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:6","HAS_CHILD","edge.THE GODHEAD->DIVINE SOVEREIGNTY"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709640","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:8","HAS_CHILD","edge.THE GODHEAD->FAITHFULNESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709642","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:10","HAS_CHILD","edge.THE GODHEAD->HOLINESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709644","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:12","HAS_CHILD","edge.THE GODHEAD->LOVE"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709646","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:14","HAS_CHILD","edge.THE GODHEAD->SPIRITUALITY"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709648","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:16","HAS_CHILD","edge.THE GODHEAD->THE GOSPEL"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917530127152709650","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:18","HAS_CHILD","edge.THE GODHEAD->TRUTH"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965206","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:22","HAS_THOUGHT","edge.THE GODHEAD->EMPTINESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965207","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:23","HAS_THOUGHT","edge.THE GODHEAD->IMPERSONAL GOD"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965209","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:25","HAS_THOUGHT","edge.THE GODHEAD->GOD-AWARENESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965210","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:26","HAS_THOUGHT","edge.THE GODHEAD->EGO"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965212","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:28","HAS_THOUGHT","edge.THE GODHEAD->MEEK"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:6917532326175965214","4:d55d1808-7ccb-481b-8389-6ac2b887737c:2","4:d55d1808-7ccb-481b-8389-6ac2b887737c:30","HAS_THOUGHT","edge.THE GODHEAD->MIRACLES"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846982","4:d55d1808-7ccb-481b-8389-6ac2b887737c:6","4:d55d1808-7ccb-481b-8389-6ac2b887737c:7","HAS_DESCRIPTION","edge.Divine Sovereignty"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846984","4:d55d1808-7ccb-481b-8389-6ac2b887737c:8","4:d55d1808-7ccb-481b-8389-6ac2b887737c:9","HAS_DESCRIPTION","edge.Faithfulness"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846986","4:d55d1808-7ccb-481b-8389-6ac2b887737c:10","4:d55d1808-7ccb-481b-8389-6ac2b887737c:11","HAS_DESCRIPTION","edge.Holiness"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846988","4:d55d1808-7ccb-481b-8389-6ac2b887737c:12","4:d55d1808-7ccb-481b-8389-6ac2b887737c:13","HAS_DESCRIPTION","edge.Love"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846990","4:d55d1808-7ccb-481b-8389-6ac2b887737c:14","4:d55d1808-7ccb-481b-8389-6ac2b887737c:15","HAS_DESCRIPTION","edge.Spirituality"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152921504606846992","4:d55d1808-7ccb-481b-8389-6ac2b887737c:16","4:d55d1808-7ccb-481b-8389-6ac2b887737c:17","HAS_DESCRIPTION","edge.The Gospel"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102550","4:d55d1808-7ccb-481b-8389-6ac2b887737c:22","4:d55d1808-7ccb-481b-8389-6ac2b887737c:24","HAS_CONTENT","edge.EMPTINESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102551","4:d55d1808-7ccb-481b-8389-6ac2b887737c:23","4:d55d1808-7ccb-481b-8389-6ac2b887737c:21","HAS_CONTENT","edge.IMPERSONAL GOD"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102553","4:d55d1808-7ccb-481b-8389-6ac2b887737c:25","4:d55d1808-7ccb-481b-8389-6ac2b887737c:20","HAS_CONTENT","edge.GOD-AWARENESS"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102554","4:d55d1808-7ccb-481b-8389-6ac2b887737c:26","4:d55d1808-7ccb-481b-8389-6ac2b887737c:27","HAS_CONTENT","edge.EGO"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102556","4:d55d1808-7ccb-481b-8389-6ac2b887737c:28","4:d55d1808-7ccb-481b-8389-6ac2b887737c:29","HAS_CONTENT","edge.MEEK"
"5:d55d1808-7ccb-481b-8389-6ac2b887737c:1152923703630102558","4:d55d1808-7ccb-481b-8389-6ac2b887737c:30","4:d55d1808-7ccb-481b-8389-6ac2b887737c:31","HAS_CONTENT","edge.MIRACLES"